x,y
-3.1160539e-02,2.00000e+00,
-3.1150538e-02,2.00000e+00,
-3.1140538e-02,2.00000e+00,
-3.1130537e-02,1.60000e+00,
-3.1120537e-02,2.00000e+00,
-3.1110536e-02,2.00000e+00,
-3.1100536e-02,2.00000e+00,
-3.1090535e-02,2.00000e+00,
-3.1080535e-02,2.00000e+00,
-3.1070534e-02,2.00000e+00,
-3.1060534e-02,2.00000e+00,
-3.1050533e-02,2.00000e+00,
-3.1040533e-02,2.00000e+00,
-3.1030532e-02,2.00000e+00,
-3.1020531e-02,2.00000e+00,
-3.1010531e-02,2.00000e+00,
-3.1000530e-02,2.00000e+00,
-3.0990530e-02,2.00000e+00,
-3.0980529e-02,2.00000e+00,
-3.0970529e-02,2.00000e+00,
-3.0960528e-02,1.60000e+00,
-3.0950528e-02,2.00000e+00,
-3.0940527e-02,2.00000e+00,
-3.0930527e-02,1.60000e+00,
-3.0920526e-02,2.00000e+00,
-3.0910525e-02,2.00000e+00,
-3.0900525e-02,2.00000e+00,
-3.0890524e-02,2.00000e+00,
-3.0880524e-02,2.00000e+00,
-3.0870523e-02,2.00000e+00,
-3.0860523e-02,2.00000e+00,
-3.0850522e-02,2.00000e+00,
-3.0840522e-02,2.00000e+00,
-3.0830521e-02,2.00000e+00,
-3.0820521e-02,2.00000e+00,
-3.0810520e-02,2.00000e+00,
-3.0800520e-02,2.00000e+00,
-3.0790519e-02,2.00000e+00,
-3.0780518e-02,2.00000e+00,
-3.0770518e-02,2.00000e+00,
-3.0760517e-02,2.00000e+00,
-3.0750517e-02,2.00000e+00,
-3.0740516e-02,2.00000e+00,
-3.0730516e-02,2.00000e+00,
-3.0720515e-02,2.00000e+00,
-3.0710515e-02,2.00000e+00,
-3.0700514e-02,2.00000e+00,
-3.0690514e-02,2.00000e+00,
-3.0680513e-02,2.00000e+00,
-3.0670512e-02,2.00000e+00,
-3.0660512e-02,2.00000e+00,
-3.0650511e-02,2.00000e+00,
-3.0640511e-02,2.00000e+00,
-3.0630510e-02,2.00000e+00,
-3.0620510e-02,2.00000e+00,
-3.0610509e-02,1.60000e+00,
-3.0600509e-02,2.00000e+00,
-3.0590508e-02,2.00000e+00,
-3.0580508e-02,2.00000e+00,
-3.0570507e-02,2.00000e+00,
-3.0560507e-02,1.60000e+00,
-3.0550506e-02,2.00000e+00,
-3.0540505e-02,1.60000e+00,
-3.0530505e-02,2.00000e+00,
-3.0520504e-02,2.00000e+00,
-3.0510504e-02,2.00000e+00,
-3.0500503e-02,2.00000e+00,
-3.0490503e-02,2.00000e+00,
-3.0480502e-02,2.00000e+00,
-3.0470502e-02,2.00000e+00,
-3.0460501e-02,2.00000e+00,
-3.0450501e-02,2.00000e+00,
-3.0440500e-02,2.00000e+00,
-3.0430499e-02,2.00000e+00,
-3.0420499e-02,2.00000e+00,
-3.0410498e-02,2.00000e+00,
-3.0400498e-02,2.00000e+00,
-3.0390497e-02,2.00000e+00,
-3.0380497e-02,2.00000e+00,
-3.0370496e-02,2.00000e+00,
-3.0360496e-02,2.00000e+00,
-3.0350495e-02,2.00000e+00,
-3.0340495e-02,2.00000e+00,
-3.0330494e-02,2.00000e+00,
-3.0320494e-02,2.00000e+00,
-3.0310493e-02,2.00000e+00,
-3.0300492e-02,2.00000e+00,
-3.0290492e-02,2.00000e+00,
-3.0280491e-02,2.00000e+00,
-3.0270491e-02,2.00000e+00,
-3.0260490e-02,2.00000e+00,
-3.0250490e-02,2.00000e+00,
-3.0240489e-02,2.00000e+00,
-3.0230489e-02,2.00000e+00,
-3.0220488e-02,2.00000e+00,
-3.0210488e-02,2.00000e+00,
-3.0200487e-02,2.00000e+00,
-3.0190486e-02,2.00000e+00,
-3.0180486e-02,2.00000e+00,
-3.0170485e-02,2.00000e+00,
-3.0160485e-02,2.00000e+00,
-3.0150484e-02,2.00000e+00,
-3.0140484e-02,1.60000e+00,
-3.0130483e-02,2.00000e+00,
-3.0120483e-02,2.00000e+00,
-3.0110482e-02,2.00000e+00,
-3.0100482e-02,2.00000e+00,
-3.0090481e-02,2.00000e+00,
-3.0080481e-02,2.00000e+00,
-3.0070480e-02,2.00000e+00,
-3.0060479e-02,2.00000e+00,
-3.0050479e-02,2.00000e+00,
-3.0040478e-02,2.00000e+00,
-3.0030478e-02,2.00000e+00,
-3.0020477e-02,2.00000e+00,
-3.0010477e-02,2.00000e+00,
-3.0000476e-02,2.00000e+00,
-2.9990476e-02,2.00000e+00,
-2.9980475e-02,2.00000e+00,
-2.9970475e-02,2.00000e+00,
-2.9960474e-02,2.00000e+00,
-2.9950473e-02,2.00000e+00,
-2.9940473e-02,2.00000e+00,
-2.9930472e-02,2.00000e+00,
-2.9920472e-02,1.60000e+00,
-2.9910471e-02,2.00000e+00,
-2.9900471e-02,2.00000e+00,
-2.9890470e-02,2.00000e+00,
-2.9880470e-02,2.00000e+00,
-2.9870469e-02,2.00000e+00,
-2.9860469e-02,2.00000e+00,
-2.9850468e-02,2.00000e+00,
-2.9840467e-02,2.00000e+00,
-2.9830467e-02,2.00000e+00,
-2.9820466e-02,2.00000e+00,
-2.9810466e-02,2.00000e+00,
-2.9800465e-02,2.00000e+00,
-2.9790465e-02,1.60000e+00,
-2.9780464e-02,2.00000e+00,
-2.9770464e-02,1.60000e+00,
-2.9760463e-02,2.00000e+00,
-2.9750463e-02,2.00000e+00,
-2.9740462e-02,2.00000e+00,
-2.9730462e-02,2.00000e+00,
-2.9720461e-02,2.00000e+00,
-2.9710460e-02,2.00000e+00,
-2.9700460e-02,2.00000e+00,
-2.9690459e-02,2.00000e+00,
-2.9680459e-02,2.00000e+00,
-2.9670458e-02,2.00000e+00,
-2.9660458e-02,2.00000e+00,
-2.9650457e-02,2.00000e+00,
-2.9640457e-02,1.60000e+00,
-2.9630456e-02,2.00000e+00,
-2.9620456e-02,2.00000e+00,
-2.9610455e-02,2.00000e+00,
-2.9600454e-02,2.00000e+00,
-2.9590454e-02,2.00000e+00,
-2.9580453e-02,2.00000e+00,
-2.9570453e-02,2.00000e+00,
-2.9560452e-02,2.00000e+00,
-2.9550452e-02,2.00000e+00,
-2.9540451e-02,2.00000e+00,
-2.9530451e-02,2.00000e+00,
-2.9520450e-02,2.00000e+00,
-2.9510450e-02,2.00000e+00,
-2.9500449e-02,1.60000e+00,
-2.9490449e-02,2.00000e+00,
-2.9480448e-02,2.00000e+00,
-2.9470447e-02,2.00000e+00,
-2.9460447e-02,2.00000e+00,
-2.9450446e-02,2.00000e+00,
-2.9440446e-02,2.00000e+00,
-2.9430445e-02,2.00000e+00,
-2.9420445e-02,2.00000e+00,
-2.9410444e-02,2.00000e+00,
-2.9400444e-02,2.00000e+00,
-2.9390443e-02,2.00000e+00,
-2.9380443e-02,2.00000e+00,
-2.9370442e-02,2.00000e+00,
-2.9360441e-02,2.00000e+00,
-2.9350441e-02,2.00000e+00,
-2.9340440e-02,2.00000e+00,
-2.9330440e-02,2.00000e+00,
-2.9320439e-02,2.00000e+00,
-2.9310439e-02,2.00000e+00,
-2.9300438e-02,2.00000e+00,
-2.9290438e-02,2.00000e+00,
-2.9280437e-02,2.00000e+00,
-2.9270437e-02,2.00000e+00,
-2.9260436e-02,2.00000e+00,
-2.9250436e-02,2.00000e+00,
-2.9240435e-02,2.00000e+00,
-2.9230434e-02,2.00000e+00,
-2.9220434e-02,2.00000e+00,
-2.9210433e-02,2.00000e+00,
-2.9200433e-02,2.00000e+00,
-2.9190432e-02,2.00000e+00,
-2.9180432e-02,2.00000e+00,
